studentId,class
1,8Z
2,8I
3,11P
4,11N
5,10B
6,10O
7,3J
8,7R
9,5M
10,11D
11,5A
12,11X
13,1D
14,8O
15,3Y
16,5A
17,12Q
18,4L
19,9Z
20,11X
21,6I
22,4K
23,7M
24,9U
25,8G
26,4Y
27,3Q
28,1K
29,10K
30,4G
31,6V
32,1J
33,6H
34,5R
35,11M
36,12Q
37,9S
38,9C
39,3O
40,4A
41,8H
42,9K
43,1I
44,1O
45,7G
46,2V
47,5L
48,10O
49,4D
50,9O
51,5K
52,12Y
53,11R
54,1X
55,11Y
56,11F
57,10N
58,10F
59,12G
60,3R
61,11H
62,7B
63,12A
64,7E
65,7Z
66,4E
67,4S
68,1J
69,11S
70,6U
71,8H
72,6R
73,11L
74,1L
75,5H
76,2G
77,1H
78,11Y
79,12O
80,8C
81,9V
82,6D
83,8N
84,4T
85,6Q
86,9J
87,7Y
88,12Y
89,10M
90,7H
91,4S
92,4M
93,1W
94,8V
95,10Q
96,3B
97,9C
98,11K
99,1S
100,2E
101,7J
102,12A
103,6S
104,4Q
105,1Y
106,1D
107,6W
108,12J
109,8B
110,12O
111,5K
112,9A
113,11B
114,12C
115,2K
116,12A
117,10X
118,12R
119,7T
120,9L
121,1V
122,11N
123,9E
124,12O
125,11D
126,12Y
127,5B
128,9F
129,8C
130,11R
131,9T
132,12O
133,5Y
134,6V
135,2Z
136,12N
137,11I
138,6S
139,5F
140,2F
141,6Q
142,8V
143,9O
144,8I
145,9E
146,1W
147,9Y
148,11B
149,11S
150,7G
151,7T
152,11T
153,12H
154,8A
155,11U
156,3I
157,2R
158,6Z
159,7V
160,9O
161,7Z
162,8A
163,3G
164,6M
165,9V
166,6J
167,11T
168,1Y
169,6M
170,9E
171,11Z
172,5E
173,9S
174,2B
175,2A
176,5U
177,7I
178,9R
179,2D
180,6T
181,10X
182,5Y
183,4P
184,5S
185,10Z
186,8I
187,10J
188,1D
189,8R
190,1F
191,1W
192,4J
193,7W
194,3F
195,5E
196,2C
197,12L
198,7V
199,8F
200,10W
201,8Y
202,2K
203,1Y
204,4V
205,6L
206,10U
207,11T
208,3I
209,9G
210,5X
211,6Y
212,1R
213,12N
214,7W
215,1C
216,1D
217,11M
218,7L
219,11W
220,10P
221,9W
222,8I
223,9Y
224,10Q
225,3F
226,5S
227,10N
228,3M
229,11L
230,10C
231,9K
232,5N
233,4B
234,7B
235,12Q
236,2Q
237,11J
238,11Q
239,7D
240,7W
241,5J
242,3M
243,7C
244,11M
245,5A
246,3H
247,8Y
248,1W
249,8T
250,9B
251,1P
252,4S
253,6C
254,3U
255,1I
256,10Y
257,11D
258,5C
259,1M
260,1K
261,8F
262,6J
263,8T
264,3A
265,4K
266,4J
267,12K
268,8X
269,3Q
270,7E
271,2U
272,7Y
273,10P
274,4Z
275,4A
276,7Q
277,3B
278,7P
279,6V
280,10K
281,5N
282,1R
283,8W
284,4K
285,7M
286,12A
287,4Z
288,2T
289,1Q
290,11V
291,3X
292,11H
293,2Z
294,3N
295,10G
296,10J
297,3R
298,6T
299,12T
300,5C
301,10B
302,9S
303,6J
304,2R
305,2S
306,3L
307,3P
308,4I
309,10X
310,11V
311,2K
312,5K
313,12V
314,9G
315,7H
316,11T
317,7J
318,6N
319,2J
320,7Y
321,2I
322,9D
323,9Y
324,10D
325,3C
326,12M
327,7G
328,4K
329,5A
330,5D
331,3Z
332,4K
333,5K
334,5P
335,12U
336,6W
337,4F
338,7T
339,11G
340,6Z
341,2B
342,5I
343,9T
344,3E
345,4X
346,9X
347,8T
348,8M
349,4S
350,9M
351,9M
352,12N
353,2L
354,12J
355,12B
356,5N
357,12W
358,7Q
359,8F
360,5C
361,12I
362,2W
363,11Y
364,11I
365,6U
366,4X
367,12Q
368,4I
369,9X
370,6D
371,6U
372,6E
373,2R
374,1M
375,8K
376,2E
377,8X
378,2B
379,12Z
380,6Q
381,4N
382,2Z
383,9K
384,9W
385,2Z
386,12E
387,11Z
388,12U
389,10N
390,6H
391,7T
392,12X
393,6F
394,3E
395,4A
396,7A
397,4D
398,6C
399,12P
400,4V
401,4P
402,10Q
403,3L
404,7V
405,5V
406,7L
407,12O
408,1R
409,7Z
410,12J
411,7W
412,12U
413,6D
414,11P
415,6Y
416,4F
417,7X
418,5H
419,11X
420,11M
421,3N
422,12U
423,7U
424,7O
425,1I
426,7U
427,1E
428,2E
429,3S
430,3M
431,7N
432,1M
433,10N
434,1Z
435,1B
436,3Z
437,6K
438,3H
439,3T
440,12X
441,3F
442,12D
443,2R
444,7F
445,2B
446,3H
447,9V
448,10A
449,8U
450,5B
451,1R
452,6Z
453,5R
454,11F
455,6J
456,1W
457,12B
458,11Q
459,2J
460,6L
461,3T
462,7E
463,9B
464,1C
465,6Z
466,9R
467,9Q
468,8I
469,12Z
470,4T
471,11T
472,1D
473,6L
474,3A
475,12V
476,3M
477,4I
478,12Y
479,2G
480,12S
481,8M
482,6U
483,1U
484,2N
485,5C
486,6U
487,1O
488,12R
489,2U
490,1K
491,7D
492,1U
493,11A
494,4K
495,12J
496,8F
497,9P
498,9I
499,4H
500,1O
501,12X
502,12X
503,1F
504,2B
505,8J
506,3O
507,10M
508,3C
509,2P
510,7I
511,1F
512,11I
513,10N
514,6O
515,5G
516,1A
517,4F
518,1P
519,3Q
520,10B
521,8R
522,1B
523,7C
524,5L
525,11U
526,3K
527,7I
528,4D
529,3T
530,10V
531,7D
532,7V
533,12Z
534,2I
535,2V
536,8C
537,7O
538,5Q
539,12R
540,12N
541,7N
542,1K
543,5T
544,11O
545,5Z
546,9U
547,11N
548,4D
549,6G
550,5S
551,9V
552,12O
553,8P
554,6X
555,8D
556,12S
557,12G
558,11P
559,7X
560,10J
561,5S
562,7Y
563,4H
564,6K
565,10G
566,12J
567,10G
568,11G
569,9D
570,4G
571,9Y
572,10O
573,9B
574,2R
575,5F
576,12E
577,10J
578,8L
579,12I
580,7V
581,1A
582,6I
583,3X
584,9W
585,4W
586,3P
587,6X
588,12S
589,10G
590,11L
591,9S
592,5Z
593,11O
594,9I
595,2D
596,5A
597,5A
598,3K
599,9R
600,3T
601,11O
602,9B
603,12P
604,10L
605,6X
606,12V
607,1C
608,5V
609,1D
610,12D
611,4M
612,10X
613,12U
614,10F
615,6T
616,6Y
617,12C
618,4X
619,8R
620,10Y
621,7U
622,3X
623,4J
624,6F
625,7V
626,5S
627,1U
628,7M
629,7V
630,4X
631,8K
632,6U
633,5I
634,2H
635,11H
636,7M
637,9O
638,11F
639,9L
640,7F
641,8S
642,11N
643,3F
644,10A
645,8B
646,9Q
647,1M
648,6R
649,9S
650,5X
651,6G
652,7F
653,7J
654,6H
655,8N
656,9W
657,8G
658,3D
659,3N
660,12V
661,9Q
662,3Y
663,5H
664,5X
665,11P
666,7W
667,1G
668,2Q
669,7V
670,1T
671,10L
672,11T
673,3U
674,1O
675,9C
676,9T
677,1T
678,6K
679,9K
680,7F
681,8L
682,9D
683,3P
684,4W
685,10D
686,11B
687,6E
688,4C
689,3Z
690,2P
691,4P
692,12B
693,1G
694,10O
695,1J
696,6N
697,10T
698,7F
699,2N
700,3Z
701,11U
702,2A
703,3D
704,1J
705,2C
706,11U
707,9U
708,2X
709,5P
710,4U
711,10L
712,9O
713,10Q
714,3T
